idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
3,13,4,9,0.822186,0.902417,0.141176,3,1,10,0.352941,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647
4,19,4,15,0.861152,0.925397,0.191304,3,1,16,0.26087,3,1,16,0.26087,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913
5,5,5,0,0.764784,0.866717,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0
6,6,4,2,0.810401,0.895272,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6
7,8,4,4,0.842277,0.914387,0.366667,3,1,5,0.5,3,1,5,0.5,3,1,5,0.5,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,1,3,7,0.166667
8,13,1,12,0.887117,0.940182,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0
9,16,5,11,0.84167,0.914029,0.152381,3,2,13,0.285714,3,2,13,0.285714,2,3,14,0.190476,2,3,14,0.190476,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238
10,14,3,11,0.880916,0.936688,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647
11,16,5,11,0.861691,0.925708,0.247619,4,1,12,0.380952,4,1,12,0.380952,4,1,12,0.380952,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476
12,9,4,5,0.843698,0.915224,0.369231,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,2,2,7,0.307692,2,2,7,0.307692,1,3,8,0.153846,1,3,8,0.153846
13,5,2,3,0.871103,0.931112,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714
14,19,5,14,0.854242,0.921392,0.225,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667
15,5,3,2,0.838053,0.911892,0.325,3,0,2,0.75,2,1,3,0.5,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25
16,11,5,6,0.843507,0.915111,0.4,4,1,7,0.5,4,1,7,0.5,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375
17,18,3,15,0.854839,0.921739,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476
18,5,2,3,0.839011,0.912459,0.057143,2,0,3,0.571429,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0
19,20,2,18,0.877579,0.934799,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909
0,5,4,1,0.768595,0.869159,0.733333,4,0,1,0.888889,4,0,1,0.888889,4,0,1,0.888889,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667
1,18,3,15,0.84357,0.915148,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238
2,10,5,5,0.781851,0.877571,0.426667,4,1,6,0.533333,4,1,6,0.533333,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4
3,13,4,9,0.822186,0.902417,0.141176,3,1,10,0.352941,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647
4,19,4,15,0.861152,0.925397,0.191304,3,1,16,0.26087,3,1,16,0.26087,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913
5,5,5,0,0.764784,0.866717,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0
6,6,4,2,0.810401,0.895272,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6
7,8,4,4,0.842432,0.914478,0.366667,3,1,5,0.5,3,1,5,0.5,3,1,5,0.5,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,1,3,7,0.166667
8,13,1,12,0.88773,0.940526,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0
9,16,5,11,0.84167,0.914029,0.152381,3,2,13,0.285714,3,2,13,0.285714,2,3,14,0.190476,2,3,14,0.190476,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238
10,14,3,11,0.881044,0.936761,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647
11,16,5,11,0.86262,0.926243,0.247619,4,1,12,0.380952,4,1,12,0.380952,4,1,12,0.380952,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476
12,9,4,5,0.843548,0.915135,0.369231,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,2,2,7,0.307692,2,2,7,0.307692,1,3,8,0.153846,1,3,8,0.153846
13,5,2,3,0.871103,0.931112,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714
14,19,5,14,0.854154,0.921341,0.225,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667
15,5,3,2,0.838253,0.91201,0.325,3,0,2,0.75,2,1,3,0.5,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25
16,11,5,6,0.843507,0.915111,0.4,4,1,7,0.5,4,1,7,0.5,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375
17,18,3,15,0.854839,0.921739,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476
18,5,2,3,0.839011,0.912459,0.057143,2,0,3,0.571429,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0
19,20,2,18,0.877923,0.934994,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909
0,5,4,1,0.768595,0.869159,0.733333,4,0,1,0.888889,4,0,1,0.888889,4,0,1,0.888889,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667,3,1,2,0.666667
1,18,3,15,0.84357,0.915148,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238,1,2,17,0.095238
2,10,5,5,0.781851,0.877571,0.426667,4,1,6,0.533333,4,1,6,0.533333,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4
3,13,4,9,0.822186,0.902417,0.141176,3,1,10,0.352941,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647
4,19,4,15,0.861152,0.925397,0.191304,3,1,16,0.26087,3,1,16,0.26087,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913
5,5,5,0,0.764784,0.866717,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0
6,6,4,2,0.810401,0.895272,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6
7,8,4,4,0.842432,0.914478,0.366667,3,1,5,0.5,3,1,5,0.5,3,1,5,0.5,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,1,3,7,0.166667
8,13,1,12,0.88773,0.940526,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0,0,1,13,0.0
9,16,5,11,0.84167,0.914029,0.152381,3,2,13,0.285714,3,2,13,0.285714,2,3,14,0.190476,2,3,14,0.190476,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238,1,4,15,0.095238
10,14,3,11,0.881044,0.936761,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647
11,16,5,11,0.86262,0.926243,0.247619,4,1,12,0.380952,4,1,12,0.380952,4,1,12,0.380952,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476,2,3,14,0.190476
12,9,4,5,0.843548,0.915135,0.369231,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,2,2,7,0.307692,2,2,7,0.307692,1,3,8,0.153846,1,3,8,0.153846
13,5,2,3,0.871103,0.931112,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714,1,1,4,0.285714
14,19,5,14,0.854154,0.921341,0.225,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,3,2,16,0.25,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667
15,5,3,2,0.838253,0.91201,0.325,3,0,2,0.75,2,1,3,0.5,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25,1,2,4,0.25
16,11,5,6,0.843507,0.915111,0.4,4,1,7,0.5,4,1,7,0.5,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375,3,2,8,0.375
17,18,3,15,0.854839,0.921739,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476,2,1,16,0.190476
18,5,2,3,0.839011,0.912459,0.057143,2,0,3,0.571429,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0,0,2,5,0.0
19,20,2,18,0.877923,0.934994,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909
